ID,LOCATION,GDD_cum
4430,RRS,9076.5
4431,RRS,9076.5
4432,RRS,9076.5
4433,RRS,9076.5
4434,RRS,9076.5
4435,RRS,9076.5
4437,RRS,9076.5
4438,RRS,9076.5
4439,RRS,9076.5
4440,RRS,9076.5
4442,RRS,9076.5
4443,RRS,9076.5
4444,RRS,9076.5
4445,RRS,9076.5
4446,RRS,9076.5
4447,RRS,9076.5
4448,RRS,9076.5
4450,RRS,9076.5
4451,RRS,9076.5
4452,RRS,9076.5
4454,RRS,9076.5
4455,RRS,9076.5
4456,RRS,9076.5
4458,RRS,9076.5
4459,RRS,9076.5
4460,RRS,9076.5
4461,RRS,9076.5
4462,RRS,9076.5
4463,RRS,9076.5
4464,RRS,9076.5
4466,RRS,9076.5
4467,RRS,9076.5
4468,RRS,9076.5
4469,RRS,9076.5
4470,RRS,9076.5
4471,RRS,9076.5
4472,RRS,9076.5
4473,RRS,9076.5
4474,RRS,9076.5
4475,RRS,9076.5
4477,RRS,9076.5
4479,RRS,9076.5
4480,RRS,9076.5
4481,RRS,9076.5
4482,RRS,9076.5
4483,RRS,9076.5
4485,RRS,9076.5
4486,RRS,9076.5
4487,RRS,9076.5
4488,RRS,9076.5
4489,RRS,9076.5
4490,RRS,9076.5
4492,RRS,9076.5
4493,RRS,9076.5
4494,RRS,9076.5
4496,RRS,9076.5
4497,RRS,9076.5
4499,RRS,9076.5
4500,RRS,9076.5
4501,RRS,9076.5
4502,RRS,9076.5
4503,RRS,9076.5
4504,RRS,9076.5
4505,RRS,9076.5
4506,RRS,9076.5
4507,RRS,9076.5
4508,RRS,9076.5
4509,RRS,9076.5
4510,RRS,9076.5
4511,RRS,9076.5
4512,RRS,9076.5
4514,RRS,9076.5
4515,RRS,9076.5
4516,RRS,9076.5
4517,RRS,9076.5
4518,RRS,9076.5
4520,RRS,9076.5
4522,RRS,9076.5
4523,RRS,9076.5
4524,RRS,9076.5
4526,RRS,9076.5
4527,RRS,9076.5
4528,RRS,9076.5
4529,RRS,9076.5
4530,RRS,9076.5
4531,RRS,9076.5
4532,RRS,9076.5
4533,RRS,9076.5
4534,RRS,9076.5
4535,RRS,9076.5
4537,RRS,9076.5
4538,RRS,9076.5
4539,RRS,9076.5
4540,RRS,9076.5
4542,RRS,9076.5
4543,RRS,9076.5
4544,RRS,9076.5
4545,RRS,9076.5
4546,RRS,9076.5
4547,RRS,9076.5
4548,RRS,9076.5
