LOCATION,Date,MINTEMP,MAXTEMP
Catahoula,4/30/2015,57,80
Catahoula,5/1/2015,60,91
Catahoula,5/2/2015,65,88
Catahoula,5/3/2015,62,86
Catahoula,5/4/2015,70,93
Catahoula,5/5/2015,67,89
Catahoula,5/6/2015,67,89
Catahoula,5/7/2015,70,94
Catahoula,5/8/2015,74,96
Catahoula,5/9/2015,83,90
Catahoula,5/10/2015,79,97
Catahoula,5/11/2015,69,86
Catahoula,5/12/2015,68,85
Catahoula,5/13/2015,71,88
Catahoula,5/14/2015,77,90
Catahoula,5/15/2015,81,90
Catahoula,5/16/2015,79,86
Catahoula,5/17/2015,80,86
Catahoula,5/18/2015,76,94
Catahoula,5/19/2015,71,92
Catahoula,5/20/2015,76,89
Catahoula,5/21/2015,68,95
Catahoula,5/22/2015,68,88
Catahoula,5/23/2015,74,89
Catahoula,5/24/2015,72,84
Catahoula,5/25/2015,74,87
Catahoula,5/26/2015,67,96
Catahoula,5/27/2015,82,86
Catahoula,5/28/2015,79,94
Catahoula,5/29/2015,77,90
Catahoula,5/30/2015,73,94
Catahoula,5/31/2015,76,89
Catahoula,6/1/2015,71,94
Catahoula,6/2/2015,71,94
Catahoula,6/3/2015,71,90
Catahoula,6/4/2015,71,92
Catahoula,6/5/2015,72,94
Catahoula,6/6/2015,82,88
Catahoula,6/7/2015,77,93
Catahoula,6/8/2015,75,102
Catahoula,6/9/2015,73,97
Catahoula,6/10/2015,78,90
Catahoula,6/11/2015,80,96
Catahoula,6/12/2015,74,91
Catahoula,6/13/2015,74,97
Catahoula,6/14/2015,78,91
Catahoula,6/15/2015,80,92
Catahoula,6/16/2015,83,90
Catahoula,6/17/2015,82,91
Catahoula,6/18/2015,80,90
Catahoula,6/19/2015,85,94
Catahoula,6/20/2015,82,93
Catahoula,6/21/2015,73,99
Catahoula,6/22/2015,86,97
Catahoula,6/23/2015,80,98
Catahoula,6/24/2015,76,95
Catahoula,6/25/2015,80,90
Catahoula,6/26/2015,84,93
Catahoula,6/27/2015,80,93
Catahoula,6/28/2015,77,91
Catahoula,6/29/2015,84,98
Catahoula,6/30/2015,78,90
Catahoula,7/1/2015,76,89
Catahoula,7/2/2015,76,98
Catahoula,7/3/2015,84,94
Catahoula,7/4/2015,76,94
Catahoula,7/5/2015,78,98
Catahoula,7/6/2015,79,95
Catahoula,7/7/2015,81,92
Catahoula,7/8/2015,86,93
Catahoula,7/9/2015,83,102
Catahoula,7/10/2015,80,97
Catahoula,7/11/2015,76,100
Catahoula,7/12/2015,76,98
Catahoula,7/13/2015,82,96
Catahoula,7/14/2015,79,98
Catahoula,7/15/2015,78,104
Catahoula,7/16/2015,85,101
Catahoula,7/17/2015,82,100
Catahoula,7/18/2015,79,98
Catahoula,7/19/2015,77,101
Catahoula,7/20/2015,82,97
Catahoula,7/21/2015,80,101
Catahoula,7/22/2015,80,95
Catahoula,7/23/2015,82,98
Catahoula,7/24/2015,80,96
Catahoula,7/25/2015,84,102
Catahoula,7/26/2015,81,98
Catahoula,7/27/2015,72,104
Catahoula,7/28/2015,79,104
Catahoula,7/29/2015,82,102
Catahoula,7/30/2015,83,103
Catahoula,7/31/2015,78,92
Catahoula,8/1/2015,78,97
Catahoula,8/2/2015,79,100
Catahoula,8/3/2015,80,107
Catahoula,8/4/2015,79,107
Catahoula,8/5/2015,84,98
Catahoula,8/6/2015,77,102
Catahoula,8/7/2015,81,101
Catahoula,8/8/2015,86,100
Catahoula,8/9/2015,90,106
Catahoula,8/10/2015,87,105
Catahoula,8/11/2015,85,101
Catahoula,8/12/2015,81,108
Catahoula,8/13/2015,76,102
Catahoula,8/14/2015,79,104
Catahoula,8/15/2015,83,104
Catahoula,8/16/2015,81,95
Catahoula,8/17/2015,79,96
Catahoula,8/18/2015,82,99
Catahoula,8/19/2015,77,93
Catahoula,8/20/2015,78,87
Catahoula,8/21/2015,77,91
Catahoula,8/22/2015,80,93
Catahoula,8/23/2015,76,101
Catahoula,8/24/2015,86,99
Catahoula,8/25/2015,72,92
Catahoula,8/26/2015,67,87
Catahoula,8/27/2015,66,91
Catahoula,8/28/2015,67,98
Catahoula,8/29/2015,69,101
Catahoula,8/30/2015,73,93
Catahoula,8/31/2015,75,91
Catahoula,9/1/2015,82,100
Catahoula,9/2/2015,79,87
Catahoula,9/3/2015,78,93
Catahoula,9/4/2015,74,89
Catahoula,9/5/2015,80,97
Catahoula,9/6/2015,75,93
Catahoula,9/7/2015,77,95
Catahoula,9/8/2015,81,98
Catahoula,9/9/2015,79,102
Catahoula,9/10/2015,78,92
Catahoula,9/11/2015,83,94
Catahoula,9/12/2015,63,90
Catahoula,9/13/2015,61,83
Catahoula,9/14/2015,59,87
Catahoula,9/15/2015,77,93
Catahoula,9/16/2015,69,96
Catahoula,9/17/2015,81,99
Catahoula,9/18/2015,73,97
Catahoula,9/19/2015,84,95
Catahoula,9/20/2015,78,99
Catahoula,9/21/2015,74,93
Catahoula,9/22/2015,68,92
Catahoula,9/23/2015,66,95
Catahoula,9/24/2015,80,92
Catahoula,9/25/2015,66,97
Catahoula,9/26/2015,74,89
Catahoula,9/27/2015,78,83
Catahoula,9/28/2015,73,90
Catahoula,9/29/2015,77,96
Catahoula,9/30/2015,76,93
Catahoula,10/1/2015,71,88
Catahoula,10/2/2015,58,83
Catahoula,10/3/2015,65,85
Catahoula,10/4/2015,58,73
Catahoula,10/5/2015,60,86
